route_id;route_short_name;route_long_name;route_type;route_color;route_url;shape;geo_point_2d
905;905;MOUVAUX - MARCQ COLLEGE;Bus;C8C8C8;;"{""coordinates"": [[[3.155668, 50.712702], [3.152387, 50.709907], [3.142715, 50.704041], [3.135705, 50.701109], [3.132153, 50.698925], [3.126984, 50.693559], [3.11999, 50.690616], [3.1158, 50.689028], [3.102154, 50.685857], [3.104358, 50.683197]], [[3.104358, 50.683197], [3.102639, 50.686222], [3.114637, 50.688686], [3.120147, 50.690696], [3.129953, 50.695567], [3.132712, 50.699406], [3.13559, 50.700984], [3.143177, 50.703751], [3.153519, 50.710034], [3.156373, 50.712634]]], ""type"": ""MultiLineString""}";50.696717902,3.12865630117
70R;70R;RÉSA NOYELLES<>VENDEVILLE;Bus;FFFFFF;;"{""coordinates"": [[[3.017664, 50.575944], [3.028222, 50.581519], [3.030172, 50.582952], [3.033523, 50.582718], [3.03432, 50.580283], [3.03922, 50.581098], [3.042691, 50.581446], [3.051743, 50.589746], [3.051455, 50.58737], [3.051143, 50.58425], [3.050734, 50.579265], [3.052929, 50.57613], [3.054363, 50.571026], [3.055736, 50.568524], [3.059795, 50.567684], [3.071871, 50.573794], [3.074517, 50.574532], [3.079068, 50.575536], [3.081771, 50.576363]], [[3.081346, 50.576187], [3.078107, 50.575336], [3.074545, 50.574559], [3.071871, 50.573794], [3.059655, 50.567784], [3.055835, 50.568551], [3.054328, 50.571493], [3.053067, 50.575914], [3.050009, 50.579798], [3.051256, 50.584304], [3.051455, 50.588312], [3.051743, 50.589746], [3.042565, 50.581492], [3.039178, 50.581107], [3.034434, 50.580354], [3.028222, 50.581519], [3.017425, 50.576026]]], ""type"": ""MultiLineString""}";50.5780854922,3.04970954067
34;34;ROUBAIX EUROTELEPORT <> VDA PONT DE BOIS;Bus;FFCC00;;"{""coordinates"": [[[3.180085, 50.691316], [3.185217, 50.692501], [3.188232, 50.692892], [3.190658, 50.691064], [3.194794, 50.691017], [3.1987, 50.690712], [3.198415, 50.687261], [3.200858, 50.684831], [3.204249, 50.680887], [3.201994, 50.679477], [3.198611, 50.677348], [3.194772, 50.674943], [3.191819, 50.673098], [3.188655, 50.670483], [3.193421, 50.667759], [3.198384, 50.665841], [3.198606, 50.66148], [3.194415, 50.65906], [3.18858, 50.653664], [3.182538, 50.65437], [3.172981, 50.654085], [3.16144, 50.64904], [3.158162, 50.644451], [3.15585, 50.64113], [3.15527, 50.635832], [3.154794, 50.630892], [3.154154, 50.627129], [3.150139, 50.62651], [3.147195, 50.62495], [3.144643, 50.625855], [3.139432, 50.627217], [3.127287, 50.624334]], [[3.127287, 50.624334], [3.139605, 50.627422], [3.142818, 50.626414], [3.146353, 50.625243], [3.150632, 50.626488], [3.153884, 50.626135], [3.154939, 50.632004], [3.155284, 50.635814], [3.155633, 50.640763], [3.158559, 50.644583], [3.162042, 50.649637], [3.174006, 50.654643], [3.182889, 50.654251], [3.188737, 50.65378], [3.194044, 50.658793], [3.199246, 50.661771], [3.197631, 50.66633], [3.192513, 50.668276], [3.189271, 50.670209], [3.192941, 50.67353], [3.19621, 50.675606], [3.199563, 50.677673], [3.201918, 50.679199], [3.204245, 50.680681], [3.200304, 50.685463], [3.198361, 50.687405], [3.200895, 50.690248], [3.198521, 50.690973], [3.194851, 50.691044], [3.192028, 50.691108], [3.188035, 50.692966], [3.184936, 50.692565], [3.180085, 50.691316]]], ""type"": ""MultiLineString""}";50.6578863778,3.17592891102
C9;C9;FORT DE MONS <> LILLE MONT DE TERRE;Bus;E6007E;;"{""coordinates"": [[[3.119074, 50.642023], [3.111996, 50.641323], [3.114289, 50.639128], [3.116659, 50.637328], [3.116205, 50.636264], [3.114383, 50.634248], [3.112399, 50.630932], [3.108788, 50.627277], [3.105399, 50.626078], [3.103156, 50.62507], [3.103446, 50.622816], [3.099225, 50.623443], [3.095254, 50.621028], [3.099513, 50.619207], [3.10209, 50.618079], [3.099097, 50.619703], [3.094034, 50.621493], [3.0917, 50.622861]], [[3.119074, 50.642023], [3.111996, 50.641323], [3.114289, 50.639128], [3.116659, 50.637328], [3.116205, 50.636264], [3.114383, 50.634248], [3.112399, 50.630932], [3.108788, 50.627277], [3.105399, 50.626078], [3.103156, 50.62507], [3.103446, 50.622816], [3.099225, 50.623443], [3.0917, 50.622861]], [[3.0917, 50.622861], [3.101155, 50.625181], [3.103559, 50.625623], [3.106035, 50.626173], [3.108788, 50.627277], [3.110645, 50.630638], [3.111139, 50.633362], [3.112792, 50.635352], [3.115333, 50.635471], [3.116689, 50.637418], [3.113902, 50.639615], [3.112212, 50.641626], [3.119074, 50.642023]]], ""type"": ""MultiLineString""}";50.6301299308,3.1072293491
C8;C8;TOURCOING CLINQUET <> TOURCOING CENTRE;Bus;F088B6;;"{""coordinates"": [[[3.15773, 50.721245], [3.159313, 50.723889], [3.156748, 50.725162], [3.154293, 50.728838], [3.151687, 50.732801], [3.143325, 50.733071], [3.139021, 50.72996], [3.136786, 50.728943], [3.134236, 50.730305], [3.130581, 50.728821], [3.128721, 50.726528], [3.130817, 50.725896]], [[3.130817, 50.725896], [3.13138, 50.72931], [3.134586, 50.730114], [3.136119, 50.728732], [3.140691, 50.73099], [3.143663, 50.733006], [3.145975, 50.733493], [3.149402, 50.732206], [3.154017, 50.729207], [3.156973, 50.725062], [3.158909, 50.724233], [3.15773, 50.721245]]], ""type"": ""MultiLineString""}";50.7292038842,3.14511064329
906;906;WASQUEHAL - MARCQ COLLEGE;Bus;C8C8C8;;"{""coordinates"": [[[3.107143, 50.680696], [3.101028, 50.681487], [3.102639, 50.686222], [3.114637, 50.688686], [3.120147, 50.690696], [3.129953, 50.695567], [3.132712, 50.699406], [3.13559, 50.700984], [3.139586, 50.698267], [3.138719, 50.695313], [3.14071, 50.691802], [3.133628, 50.688654], [3.138369, 50.685825], [3.138332, 50.683529], [3.136989, 50.680748], [3.134778, 50.677569], [3.131233, 50.675691], [3.128684, 50.67342], [3.128598, 50.66976], [3.131339, 50.669913], [3.134058, 50.672246]], [[3.134058, 50.672246], [3.130843, 50.669809], [3.127248, 50.671859], [3.129269, 50.673793], [3.130715, 50.675075], [3.134576, 50.67732], [3.13695, 50.680973], [3.138958, 50.683785], [3.138872, 50.68549], [3.133601, 50.688762], [3.140846, 50.692321], [3.138576, 50.695197], [3.139043, 50.6988], [3.135705, 50.701109], [3.132153, 50.698925], [3.126984, 50.693559], [3.11999, 50.690616], [3.1158, 50.689028], [3.102154, 50.685857], [3.101112, 50.681433], [3.107143, 50.680696]]], ""type"": ""MultiLineString""}";50.6867629556,3.12606097366
N1;N1;4 CANTONS <> LILLE PORTE DE DOUAI;Bus;1D1C1B;;"{""coordinates"": [[[3.139594, 50.605632], [3.142695, 50.61173], [3.140185, 50.616133], [3.134447, 50.617058], [3.130156, 50.619391], [3.127957, 50.624806], [3.115992, 50.625258], [3.108788, 50.627277], [3.097836, 50.630395], [3.08991, 50.633215], [3.070474, 50.637073], [3.062176, 50.63191], [3.056132, 50.634358], [3.054383, 50.63139], [3.061843, 50.627454], [3.065118, 50.62573], [3.067063, 50.624678], [3.072631, 50.62068], [3.072988, 50.618139]], [[3.072988, 50.618139], [3.07247, 50.621264], [3.067387, 50.624658], [3.063748, 50.626572], [3.060837, 50.628061], [3.05409, 50.631625], [3.052923, 50.632852], [3.056907, 50.634309], [3.062317, 50.631945], [3.071114, 50.637428], [3.089736, 50.63292], [3.097836, 50.630395], [3.108787, 50.627187], [3.116118, 50.625231], [3.127953, 50.624581], [3.130088, 50.61958], [3.133893, 50.616748], [3.139369, 50.616201], [3.142497, 50.611731], [3.139594, 50.605632]]], ""type"": ""MultiLineString""}";50.6268317763,3.09492353091
CO1;CO1;LILLE CHU EURASANTÉ <> V. D'ASCQ HDV;Bus;E84E0F;;"{""coordinates"": [[[3.038809, 50.608031], [3.044472, 50.606725], [3.049786, 50.605716], [3.053741, 50.605299], [3.055722, 50.602865], [3.054224, 50.599627], [3.064094, 50.598923], [3.068285, 50.599239], [3.070407, 50.596948], [3.074341, 50.595148], [3.076596, 50.594184], [3.079988, 50.594845], [3.083527, 50.5959], [3.086748, 50.596347], [3.094323, 50.59588], [3.093812, 50.599345], [3.09019, 50.602229], [3.088228, 50.603919], [3.088315, 50.606879], [3.094199, 50.60443], [3.096932, 50.601551], [3.104746, 50.605549], [3.109015, 50.610016], [3.110925, 50.612265], [3.11749, 50.614682], [3.122307, 50.612516], [3.128858, 50.614878], [3.132847, 50.616593], [3.129892, 50.61968]], [[3.129892, 50.61968], [3.132266, 50.616399], [3.128652, 50.614368], [3.12221, 50.61266], [3.11626, 50.614456], [3.110883, 50.612274], [3.108918, 50.610071], [3.102908, 50.604295], [3.098704, 50.603137], [3.094009, 50.604009], [3.088808, 50.606831], [3.088311, 50.603775], [3.09061, 50.601985], [3.093657, 50.5994], [3.094182, 50.59588], [3.087498, 50.596585], [3.082977, 50.59585], [3.080716, 50.595451], [3.075562, 50.594764], [3.073054, 50.595757], [3.070154, 50.59694], [3.06839, 50.599696], [3.062541, 50.598771], [3.053635, 50.599881], [3.056463, 50.603462], [3.052658, 50.60544], [3.048196, 50.605923], [3.044753, 50.606678], [3.038809, 50.608031]]], ""type"": ""MultiLineString""}";50.6042967081,3.08706632578
968;968;TOUFFLERS - ST ADRIEN;Bus;C8C8C8;;"{""coordinates"": [[[3.228857, 50.661149], [3.22528, 50.660798], [3.217403, 50.662262], [3.215077, 50.664835], [3.2096, 50.667197], [3.206629, 50.665128], [3.203172, 50.663556], [3.198606, 50.66148], [3.194415, 50.65906], [3.18858, 50.653664], [3.187694, 50.652181], [3.19153, 50.649607], [3.19607, 50.648598], [3.158162, 50.644451], [3.15585, 50.64113], [3.15527, 50.635832], [3.154794, 50.630892], [3.153438, 50.6256]], [[3.127957, 50.624806], [3.139605, 50.627422], [3.142818, 50.626414], [3.146353, 50.625243], [3.150632, 50.626488], [3.153884, 50.626135], [3.154939, 50.632004], [3.155284, 50.635814], [3.155633, 50.640763], [3.158559, 50.644583], [3.191487, 50.650406], [3.188044, 50.652044], [3.188737, 50.65378], [3.194044, 50.658793], [3.199246, 50.661771], [3.203129, 50.663547], [3.205974, 50.664801], [3.210521, 50.666572], [3.214772, 50.665098], [3.216364, 50.663382], [3.219489, 50.661323], [3.225167, 50.660763], [3.228559, 50.661052]]], ""type"": ""MultiLineString""}";50.6486687303,3.18177897233
35;35;ROUBAIX EUROTELEPORT <> TOURCOING CENTRE;Bus;E84E0F;;"{""coordinates"": [[[3.182382, 50.691856], [3.185217, 50.692501], [3.188232, 50.692892], [3.190658, 50.691064], [3.194794, 50.691017], [3.198718, 50.690927], [3.210762, 50.68843], [3.211784, 50.686315], [3.214902, 50.686992], [3.221005, 50.687146], [3.22375, 50.685898], [3.222617, 50.682515], [3.230817, 50.683129], [3.238783, 50.680963], [3.2427, 50.679742], [3.245464, 50.678035], [3.247676, 50.680118], [3.24433, 50.682439], [3.24096, 50.684239], [3.238788, 50.685969], [3.236148, 50.689908], [3.231225, 50.694105], [3.226174, 50.696725], [3.224119, 50.697915], [3.219788, 50.699766], [3.221969, 50.701715], [3.226898, 50.704891], [3.231382, 50.705227], [3.233361, 50.704522], [3.235403, 50.703421], [3.237113, 50.704252], [3.238824, 50.706706], [3.236752, 50.709287], [3.232915, 50.710355], [3.230525, 50.70943], [3.22779, 50.708168], [3.221896, 50.704774], [3.219539, 50.703284], [3.21526, 50.702525], [3.21016, 50.703279], [3.204183, 50.704747], [3.201629, 50.706523], [3.19861, 50.70919], [3.202142, 50.71496], [3.20036, 50.716488], [3.197613, 50.717736], [3.195257, 50.716326], [3.188519, 50.713888], [3.185978, 50.713161], [3.180104, 50.715022], [3.184813, 50.717771], [3.188244, 50.718438], [3.190757, 50.722466], [3.189919, 50.723853], [3.187126, 50.722509], [3.184188, 50.72669], [3.181845, 50.724383], [3.181262, 50.722504], [3.176437, 50.718743], [3.167669, 50.717393], [3.16308, 50.719236], [3.161719, 50.719828], [3.157327, 50.721642]], [[3.157327, 50.721642], [3.16173, 50.719667], [3.16365, 50.718712], [3.167788, 50.716917], [3.177761, 50.719344], [3.181395, 50.721992], [3.182158, 50.72448], [3.1847, 50.726068], [3.187013, 50.7225], [3.190566, 50.723714], [3.190418, 50.721661], [3.18833, 50.718545], [3.184828, 50.717806], [3.180103, 50.714968], [3.185275, 50.713346], [3.188817, 50.713967], [3.194632, 50.716097], [3.197499, 50.717665], [3.200625, 50.716289], [3.202072, 50.71496], [3.198984, 50.708784], [3.201252, 50.706759], [3.21023, 50.703216], [3.215637, 50.702281], [3.219751, 50.703283], [3.222896, 50.705404], [3.227959, 50.708166], [3.230039, 50.709129], [3.233312, 50.71046], [3.236723, 50.70926], [3.239115, 50.706363], [3.236976, 50.703715], [3.234683, 50.703418], [3.233153, 50.704747], [3.230659, 50.705079], [3.225357, 50.704014], [3.220495, 50.70221], [3.219422, 50.699877], [3.224734, 50.697569], [3.226547, 50.696301], [3.232505, 50.693818], [3.23608, 50.690007], [3.238592, 50.686024], [3.241722, 50.683471], [3.242537, 50.680918], [3.238375, 50.681065], [3.230423, 50.68324], [3.222617, 50.682515], [3.223514, 50.686142], [3.220242, 50.687152], [3.215569, 50.687194], [3.211841, 50.68635], [3.210726, 50.68878], [3.198521, 50.690973], [3.194851, 50.691044], [3.192028, 50.691108], [3.188035, 50.692966], [3.184936, 50.692565], [3.182382, 50.691856]], [[3.235403, 50.703421], [3.237113, 50.704252], [3.238824, 50.706706], [3.236752, 50.709287], [3.232915, 50.710355], [3.230525, 50.70943], [3.22779, 50.708168], [3.221896, 50.704774], [3.219539, 50.703284], [3.21526, 50.702525], [3.21016, 50.703279], [3.204183, 50.704747], [3.201629, 50.706523], [3.19861, 50.70919], [3.202142, 50.71496], [3.20036, 50.716488], [3.197613, 50.717736], [3.195257, 50.716326], [3.188519, 50.713888], [3.185978, 50.713161], [3.180104, 50.715022], [3.184813, 50.717771], [3.188244, 50.718438], [3.190757, 50.722466], [3.189919, 50.723853], [3.187126, 50.722509], [3.184188, 50.72669], [3.181845, 50.724383], [3.181262, 50.722504], [3.176437, 50.718743], [3.167669, 50.717393], [3.16308, 50.719236], [3.161719, 50.719828], [3.157327, 50.721642]], [[3.157327, 50.721642], [3.16173, 50.719667], [3.16365, 50.718712], [3.167788, 50.716917], [3.177761, 50.719344], [3.181395, 50.721992], [3.182158, 50.72448], [3.1847, 50.726068], [3.187013, 50.7225], [3.190566, 50.723714], [3.190418, 50.721661], [3.18833, 50.718545], [3.184828, 50.717806], [3.180103, 50.714968], [3.185275, 50.713346], [3.188817, 50.713967], [3.194632, 50.716097], [3.197499, 50.717665], [3.200625, 50.716289], [3.202072, 50.71496], [3.198984, 50.708784], [3.201252, 50.706759], [3.21023, 50.703216], [3.215637, 50.702281], [3.219751, 50.703283], [3.222896, 50.705404], [3.227959, 50.708166], [3.230039, 50.709129], [3.233312, 50.71046], [3.236723, 50.70926], [3.239115, 50.706363], [3.236976, 50.703715], [3.235172, 50.703127]], [[3.182382, 50.691856], [3.185217, 50.692501], [3.188232, 50.692892], [3.190658, 50.691064], [3.194794, 50.691017], [3.198718, 50.690927], [3.210762, 50.68843], [3.211784, 50.686315], [3.214902, 50.686992], [3.221005, 50.687146], [3.22375, 50.685898], [3.222617, 50.682515], [3.230817, 50.683129], [3.238783, 50.680963], [3.2427, 50.679742], [3.245464, 50.678035]], [[3.157327, 50.721642], [3.16173, 50.719667], [3.16365, 50.718712], [3.167788, 50.716917], [3.177761, 50.719344], [3.181395, 50.721992], [3.182158, 50.72448], [3.1847, 50.726068], [3.187013, 50.7225], [3.190566, 50.723714], [3.190418, 50.721661], [3.18833, 50.718545], [3.184828, 50.717806], [3.180103, 50.714968], [3.185275, 50.713346], [3.188817, 50.713967], [3.194632, 50.716097], [3.197499, 50.717665], [3.200625, 50.716289], [3.202072, 50.71496], [3.207081, 50.709777], [3.209306, 50.706954], [3.215637, 50.702281], [3.219751, 50.703283], [3.222896, 50.705404], [3.227959, 50.708166], [3.230039, 50.709129], [3.233312, 50.71046], [3.236723, 50.70926], [3.239115, 50.706363], [3.236976, 50.703715], [3.234683, 50.703418], [3.233153, 50.704747], [3.230659, 50.705079], [3.225357, 50.704014], [3.220495, 50.70221], [3.219422, 50.699877], [3.224734, 50.697569], [3.226547, 50.696301], [3.232505, 50.693818], [3.23608, 50.690007], [3.238592, 50.686024], [3.241722, 50.683471], [3.242537, 50.680918], [3.238375, 50.681065], [3.230423, 50.68324], [3.222617, 50.682515], [3.223514, 50.686142], [3.220242, 50.687152], [3.215569, 50.687194], [3.211841, 50.68635], [3.210726, 50.68878], [3.198521, 50.690973], [3.194851, 50.691044], [3.192028, 50.691108], [3.188035, 50.692966], [3.184936, 50.692565], [3.182382, 50.691856]], [[3.182382, 50.691856], [3.185217, 50.692501], [3.188232, 50.692892], [3.190658, 50.691064], [3.194794, 50.691017], [3.198718, 50.690927], [3.210762, 50.68843], [3.211784, 50.686315], [3.214902, 50.686992], [3.221005, 50.687146], [3.22375, 50.685898], [3.222617, 50.682515], [3.230817, 50.683129], [3.238783, 50.680963], [3.2427, 50.679742], [3.245464, 50.678035], [3.247676, 50.680118], [3.24433, 50.682439], [3.24096, 50.684239], [3.238788, 50.685969], [3.236148, 50.689908], [3.231225, 50.694105], [3.226174, 50.696725], [3.224119, 50.697915], [3.219788, 50.699766], [3.221969, 50.701715], [3.226898, 50.704891], [3.231382, 50.705227], [3.233361, 50.704522], [3.235403, 50.703421], [3.237113, 50.704252], [3.238824, 50.706706], [3.236752, 50.709287], [3.232915, 50.710355], [3.230525, 50.70943], [3.22779, 50.708168], [3.221896, 50.704774], [3.219539, 50.703284], [3.21526, 50.702525], [3.209724, 50.706601], [3.206995, 50.709652], [3.202142, 50.71496], [3.20036, 50.716488], [3.197613, 50.717736], [3.195257, 50.716326], [3.188519, 50.713888], [3.185978, 50.713161], [3.180104, 50.715022], [3.184813, 50.717771], [3.188244, 50.718438], [3.190757, 50.722466], [3.189919, 50.723853], [3.187126, 50.722509], [3.184188, 50.72669], [3.181845, 50.724383], [3.181262, 50.722504], [3.176437, 50.718743], [3.167669, 50.717393], [3.16308, 50.719236], [3.161719, 50.719828], [3.157327, 50.721642]], [[3.245464, 50.678035], [3.247676, 50.680118], [3.242537, 50.680918], [3.238375, 50.681065], [3.230423, 50.68324], [3.222617, 50.682515], [3.223514, 50.686142], [3.220242, 50.687152], [3.215569, 50.687194], [3.211841, 50.68635], [3.210726, 50.68878], [3.198521, 50.690973], [3.194851, 50.691044], [3.192028, 50.691108], [3.188035, 50.692966], [3.184936, 50.692565], [3.182382, 50.691856]]], ""type"": ""MultiLineString""}";50.7030805762,3.20744685987
C10;C10;MARCQ PAVÉ STRATÉGIQUE <> MARCQ PAVÉ S.;Bus;E6007E;;"{""coordinates"": [[[3.09104, 50.686688], [3.09037, 50.682476], [3.090123, 50.681069], [3.092416, 50.675853], [3.09406, 50.674461], [3.096623, 50.672176], [3.099966, 50.669241], [3.103073, 50.665723], [3.095819, 50.661983], [3.089387, 50.657537], [3.083382, 50.657977], [3.080705, 50.659213], [3.083551, 50.663636], [3.084329, 50.664699], [3.07744, 50.665529], [3.082138, 50.672031], [3.084983, 50.674418], [3.089466, 50.675934], [3.090387, 50.679893], [3.090273, 50.682629], [3.09104, 50.686688]], [[3.09104, 50.686688], [3.09037, 50.682476], [3.090123, 50.681069], [3.088697, 50.675436], [3.084884, 50.67441], [3.081567, 50.671613], [3.077241, 50.665378], [3.083001, 50.66459], [3.08371, 50.66385], [3.080648, 50.65915], [3.083325, 50.657932], [3.090029, 50.657057], [3.097078, 50.662181], [3.101911, 50.664501], [3.100264, 50.669373], [3.096823, 50.672328], [3.09419, 50.674667], [3.092308, 50.67623], [3.090387, 50.679893], [3.090273, 50.682629], [3.09104, 50.686688]]], ""type"": ""MultiLineString""}";50.6695960327,3.08938702362
CITL;CITL;P. DES POSTES <> CHU <> REPUBLIQUE;Bus;E6007E;;"{""coordinates"": [[[3.048261, 50.618401], [3.048253, 50.614884], [3.046595, 50.612328], [3.04468, 50.609513], [3.042578, 50.60739], [3.039398, 50.607776], [3.044472, 50.606725], [3.049786, 50.605716], [3.053741, 50.605299], [3.058173, 50.605695], [3.059558, 50.607911], [3.06176, 50.612016], [3.06234, 50.613062], [3.061858, 50.617756], [3.061222, 50.620604], [3.061245, 50.62316], [3.061753, 50.626064], [3.063748, 50.626572], [3.062171, 50.63156], [3.056132, 50.634358], [3.051747, 50.632464], [3.048824, 50.631225], [3.044921, 50.629498], [3.042904, 50.628532], [3.039936, 50.626046], [3.036933, 50.623058], [3.035231, 50.621381], [3.036781, 50.620251], [3.041531, 50.61913], [3.048894, 50.618352]], [[3.048277, 50.61858], [3.040621, 50.619602], [3.037344, 50.620194], [3.035243, 50.62122], [3.037617, 50.623584], [3.041062, 50.626901], [3.042318, 50.627952], [3.046028, 50.629994], [3.050043, 50.631676], [3.052923, 50.632852], [3.056907, 50.634309], [3.062352, 50.631389], [3.063658, 50.626187], [3.061654, 50.626109], [3.061232, 50.623232], [3.06123, 50.620155], [3.062238, 50.6177], [3.062374, 50.613457], [3.061445, 50.611614], [3.059316, 50.607715], [3.057328, 50.604802], [3.052658, 50.60544], [3.048196, 50.605923], [3.044753, 50.606678], [3.039395, 50.607579], [3.04351, 50.607538], [3.044721, 50.609397], [3.046913, 50.612847], [3.04842, 50.6157], [3.048755, 50.618479]]], ""type"": ""MultiLineString""}";50.6187078337,3.05057583437
Z6;Z6;GARE J. LEBAS <> WATTRELOS ZAC WINHOUTTE;Bus;FFCC00;;"{""coordinates"": [[[3.204364, 50.71437], [3.202142, 50.71496], [3.20036, 50.716488], [3.197613, 50.717736], [3.195257, 50.716326], [3.193673, 50.713745], [3.195703, 50.711848], [3.198984, 50.708784], [3.201252, 50.706759], [3.199792, 50.704868], [3.19426, 50.702691], [3.19113, 50.70134], [3.187457, 50.701311], [3.183649, 50.700754], [3.180428, 50.699897], [3.175522, 50.699563], [3.172885, 50.701527], [3.170839, 50.700797], [3.167762, 50.698333], [3.164017, 50.695631]], [[3.164876, 50.696334], [3.167916, 50.696583], [3.171119, 50.69892], [3.175536, 50.699554], [3.180499, 50.699915], [3.183209, 50.70065], [3.188191, 50.701288], [3.19225, 50.701583], [3.195981, 50.703387], [3.198055, 50.705705], [3.19861, 50.70919], [3.195579, 50.712001], [3.192813, 50.714675], [3.194632, 50.716097], [3.197499, 50.717665], [3.200625, 50.716289], [3.202072, 50.71496], [3.204364, 50.71437]], [[3.196673, 50.682851], [3.198393, 50.683547], [3.200497, 50.684349], [3.204249, 50.680887], [3.201994, 50.679477], [3.198611, 50.677348], [3.194772, 50.674943], [3.191819, 50.673098], [3.189001, 50.671772], [3.185573, 50.673536], [3.182313, 50.675253], [3.17866, 50.677144], [3.176541, 50.677849], [3.172277, 50.678694], [3.169914, 50.680074], [3.167371, 50.68166], [3.162905, 50.683924], [3.159083, 50.685896], [3.158625, 50.688061], [3.161967, 50.690406], [3.163492, 50.6921], [3.166732, 50.69163], [3.169257, 50.691479], [3.170521, 50.692744], [3.166945, 50.69423], [3.164876, 50.696334], [3.167916, 50.696583], [3.171119, 50.69892], [3.175536, 50.699554], [3.180499, 50.699915], [3.183209, 50.70065], [3.188191, 50.701288], [3.19225, 50.701583], [3.195981, 50.703387], [3.198055, 50.705705], [3.19861, 50.70919], [3.195579, 50.712001], [3.192813, 50.714675], [3.194632, 50.716097], [3.197499, 50.717665], [3.200625, 50.716289], [3.202072, 50.71496], [3.204364, 50.71437]]], ""type"": ""MultiLineString""}";50.6984184763,3.18545878158
